id_venda;promoção
1;0
2;1
3;1
4;0
5;0
6;1
7;1
8;0
9;1
10;0
11;0
12;0
13;0
14;1
15;0
16;0
17;1
18;1
19;0
20;0
21;0
22;0
23;1
24;1
25;1
26;1
27;1
28;0
29;0
30;0
31;1
32;1
33;0
34;1
35;1
36;1
37;1
38;0
39;0
40;0
41;0
42;1
43;0
44;1
45;1
46;0
47;0
48;0
49;1
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;0
61;0
62;1
63;0
64;0
65;0
66;0
67;0
68;0
69;1
70;1
71;0
72;0
73;0
74;1
75;1
76;1
77;1
78;1
79;0
80;0
81;1
82;0
83;1
84;0
85;0
86;1
87;0
88;0
89;0
90;0
91;1
92;0
93;1
94;0
95;1
96;0
97;0
98;0
99;1
100;1
101;0
102;0
103;0
104;0
105;1
106;0
107;0
108;1
109;1
110;0
111;1
112;0
113;1
114;0
115;0
116;0
117;0
118;0
119;0
120;1
121;1
122;1
123;1
124;0
125;0
126;0
127;0
128;0
129;0
130;0
131;1
132;1
133;1
134;0
135;0
136;1
137;0
138;0
139;1
140;0
141;0
142;1
143;1
144;0
145;0
146;0
147;0
148;1
149;0
150;1
151;0
152;0
153;1
154;1
155;0
156;1
157;0
158;0
159;0
160;0
161;0
162;1
163;0
164;0
165;0
166;0
167;0
168;0
169;1
170;0
171;1
172;1
173;0
174;0
175;0
176;0
177;1
178;1
179;1
180;1
181;1
182;1
183;1
184;1
185;0
186;1
187;1
188;0
189;1
190;0
191;0
192;1
193;0
194;0
195;1
196;1
197;1
198;0
199;1
200;0
201;0
202;0
203;0
204;0
205;1
206;1
207;0
208;0
209;1
210;1
211;1
212;1
213;0
214;0
215;0
216;0
217;0
218;0
219;1
220;1
221;0
222;0
223;1
224;1
225;1
226;1
227;0
228;1
229;0
230;1
231;1
232;0
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;1
241;0
242;1
243;0
244;0
245;1
246;1
247;0
248;0
249;0
250;0
251;1
252;1
253;0
254;1
255;0
256;0
257;0
258;0
259;1
260;1
261;0
262;1
263;0
264;1
265;1
266;0
267;0
268;0
269;0
270;0
271;0
272;1
273;1
274;1
275;1
276;1
277;0
278;0
279;0
280;0
281;1
282;0
283;1
284;0
285;0
286;1
287;0
288;1
289;0
290;1
291;0
292;1
293;0
294;0
295;0
296;1
297;0
298;1
299;0
300;0
301;0
302;0
303;0
304;1
305;0
306;1
307;1
308;0
309;1
310;1
311;0
312;0
313;0
314;0
315;1
316;1
317;1
318;1
319;1
320;1
321;0
322;0
323;0
324;0
325;1
326;1
327;1
328;0
329;1
330;0
331;1
332;1
333;1
334;0
335;0
336;0
337;1
338;0
339;1
340;1
341;0
342;0
343;1
344;1
345;1
346;0
347;0
348;0
349;0
350;1
351;1
352;0
353;0
354;0
355;1
356;0
357;1
358;1
359;0
360;0
361;0
362;0
363;1
364;1
365;0
366;0
367;1
368;0
369;0
370;0
371;0
372;0
373;1
374;0
375;0
376;1
377;0
378;0
379;1
380;1
381;1
382;1
383;1
384;1
385;1
386;1
387;0
388;0
389;0
390;0
391;0
392;0
393;0
394;0
395;0
396;1
397;0
398;0
399;0
400;0
401;1
402;0
403;1
404;1
405;0
406;1
407;0
408;1
409;0
410;0
411;1
412;0
413;0
414;1
415;1
416;0
417;0
418;0
